id,receipt_number,store_name,store_id,ticket_amount,print_time,processing_date,created_at,updated_at,source_file_path,original_filename
1,250728#286900,eat n work,302596,1285.00,2025-07-28T17:09:16,2025-07-28,2025-07-29T22:21:31.799855,2025-07-29T22:21:31.799855,C:\Point Detection\worker\data\converted_tz\2025-07-28\250728__HASH__286900.json,250728__HASH__286900.json
2,250728#286905,eat n work,302596,1285.00,2025-07-28T17:08:28,2025-07-28,2025-07-29T22:21:31.804614,2025-07-29T22:21:31.804614,C:\Point Detection\worker\data\converted_tz\2025-07-28\250728__HASH__286905.json,250728__HASH__286905.json
3,02202507290001,CASIO,307895,1490.00,2025-07-29T05:13:40,2025-07-29,2025-07-29T22:21:31.810500,2025-07-29T22:21:31.810500,C:\Point Detection\worker\data\converted_tz\2025-07-29\02202507290001.json,02202507290001.json
4,02202507290002,CASIO,307895,1690.00,2025-07-29T05:13:54,2025-07-29,2025-07-29T22:21:31.813811,2025-07-29T22:21:31.813811,C:\Point Detection\worker\data\converted_tz\2025-07-29\02202507290002.json,02202507290002.json
5,10013062,balabala,306869,1010.30,2025-07-29T02:57:28,2025-07-29,2025-07-29T22:21:31.816028,2025-07-29T22:21:31.816028,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013062.json,10013062.json
6,10013063,balabala,306869,1422.00,2025-07-29T03:05:50,2025-07-29,2025-07-29T22:21:31.818189,2025-07-29T22:21:31.818189,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013063.json,10013063.json
7,10013064,balabala,306869,844.40,2025-07-29T03:48:16,2025-07-29,2025-07-29T22:21:31.820120,2025-07-29T22:21:31.820120,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013064.json,10013064.json
8,10013065,balabala,306869,631.30,2025-07-29T05:20:16,2025-07-29,2025-07-29T22:21:31.821890,2025-07-29T22:21:31.821890,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013065.json,10013065.json
9,10013066,balabala,306869,795.90,2025-07-29T05:32:10,2025-07-29,2025-07-29T22:21:31.824825,2025-07-29T22:21:31.824825,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013066.json,10013066.json
10,10013067,balabala,306869,646.50,2025-07-29T05:42:10,2025-07-29,2025-07-29T22:21:31.826873,2025-07-29T22:21:31.826873,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013067.json,10013067.json
11,10013069,balabala,306869,279.80,2025-07-29T08:08:10,2025-07-29,2025-07-29T22:21:31.829215,2025-07-29T22:21:31.829215,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013069.json,10013069.json
12,10013070,balabala,306869,727.40,2025-07-29T08:56:20,2025-07-29,2025-07-29T22:21:31.831457,2025-07-29T22:21:31.831457,C:\Point Detection\worker\data\converted_tz\2025-07-29\10013070.json,10013070.json
13,102507291100771209600001,嗲记 吃有料的餐,300905,131.00,2025-07-29T03:36:40,2025-07-29,2025-07-29T22:21:31.833824,2025-07-29T22:21:31.833824,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291100771209600001.json,102507291100771209600001.json
14,102507291100771209600002,嗲记 吃有料的餐,300905,56.00,2025-07-29T03:45:35,2025-07-29,2025-07-29T22:21:31.836630,2025-07-29T22:21:31.836630,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291100771209600002.json,102507291100771209600002.json
15,102507291200771209600004,嗲记 吃有料的餐,300905,42.90,2025-07-29T04:17:33,2025-07-29,2025-07-29T22:21:31.840226,2025-07-29T22:21:31.840226,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600004.json,102507291200771209600004.json
16,102507291200771209600005,嗲记 吃有料的餐,300905,37.90,2025-07-29T04:18:32,2025-07-29,2025-07-29T22:21:31.843147,2025-07-29T22:21:31.843147,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600005.json,102507291200771209600005.json
17,102507291200771209600006,嗲记 吃有料的餐,300905,39.00,2025-07-29T04:22:12,2025-07-29,2025-07-29T22:21:31.845559,2025-07-29T22:21:31.845559,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600006.json,102507291200771209600006.json
18,102507291200771209600007,嗲记 吃有料的餐,300905,149.00,2025-07-29T04:23:37,2025-07-29,2025-07-29T22:21:31.848900,2025-07-29T22:21:31.848900,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600007.json,102507291200771209600007.json
19,102507291200771209600008,嗲记 吃有料的餐,300905,56.00,2025-07-29T04:28:22,2025-07-29,2025-07-29T22:21:31.851800,2025-07-29T22:21:31.851800,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600008.json,102507291200771209600008.json
20,102507291200771209600009,嗲记 吃有料的餐,300905,28.00,2025-07-29T04:34:05,2025-07-29,2025-07-29T22:21:31.854503,2025-07-29T22:21:31.854503,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600009.json,102507291200771209600009.json
21,102507291200771209600010,嗲记 吃有料的餐,300905,86.90,2025-07-29T04:34:07,2025-07-29,2025-07-29T22:21:31.857555,2025-07-29T22:21:31.857555,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600010.json,102507291200771209600010.json
22,102507291200771209600012,嗲记 吃有料的餐,300905,217.00,2025-07-29T04:35:32,2025-07-29,2025-07-29T22:21:31.860417,2025-07-29T22:21:31.860417,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600012.json,102507291200771209600012.json
23,102507291200771209600013,嗲记 吃有料的餐,300905,170.00,2025-07-29T04:36:15,2025-07-29,2025-07-29T22:21:31.865032,2025-07-29T22:21:31.865032,C:\Point Detection\worker\data\converted_tz\2025-07-29\102507291200771209600013.json,102507291200771209600013.json
